id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
128337,72803,Kaiju-Oh Godzilla,"""Hundreds of monsters have arisen in the land of Japan and it is up to Godzilla to fend them off. The player must maneuver the nuclear giant through the stages and wage a cataclysmic war. Stamping out the pesky human machines that sought to block the player's path, Godzilla must fight the endless hordes of demons. Fighting one after another, almost in succession. Can the player master against the heavy weight of the monster world? Or will Godzilla loss his title as the King Of The Monsters???""",1993-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128444,42476,Out to Lunch,NULL,1993-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128676,8195,RoboCop Versus The Terminator,NULL,1993-12-31 00:00:00.000,2,NULL,NULL,NULL,87.2680,13
128721,37901,Nobunaga no Yabou: Haouden,NULL,1993-12-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128881,60782,God Medicine: Fantasy Sekai no Tanjou,NULL,1993-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128929,11773,Slicks 'n' Slide,NULL,1993-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128937,42540,Tony Meola's Sidekicks Soccer,NULL,1993-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128953,14183,10 out of 10: Early Essentials,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129002,48659,Kaiketsu Yancha maru 3: Taiketsu! Zōringen,NULL,1993-04-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129040,5425,Puggsy,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129043,48153,The Jetsons: Cogswell's Caper,NULL,1993-05-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129055,4345,FIFA International Soccer,"Based on international teams (with fictional player names), their abilities in each skill area rated out of 10 to give the player an overall impression of how good they are. The options available follow the standard set: fouls and offsides can be toggled on and off, the match length can be set, and if the timer operates continuously, or only while the ball is in play. Gameplay privileges quick runs, short passes and blistering shots outside the penalty box, and set pieces are controlled by moving a box into the target area for the ball, and then passed, lobbed or kicked directly. On the tactical side, formations can be selected, with 5 different strategies also available (although not all of these combinations make sense) as can the team Coverage - the areas which defenders, midfielders and strikers cover.",1993-12-31 00:00:00.000,3,NULL,NULL,NULL,85.7824,25
129096,51942,The Flintstones,NULL,1993-02-22 00:00:00.000,2,NULL,NULL,NULL,81.1497,9
129341,48125,Formula 1 Sensation,NULL,1993-01-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129343,48581,Fighting Hero III,NULL,1993-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129858,8447,Deep Duck Trouble Starring Donald Duck,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
